nombre,min_peso,max_peso,kg_adicional,precio_normal,precio_mismo_dia,tipo_vehiculo,hub,region_origen,region_destino,zona,tipo
PZONA 3,1,750,36,32518,,,BARRANQUILLA CALLE 30,53,53,3,Urbano
PZONA 1,1,750,21,18291,,,BARRANQUILLA CALLE 30,53,53,1,Urbano
PZONA 2,1,750,33,26421,,,BARRANQUILLA CALLE 30,53,53,2,Urbano
PZONA 0,1,750,19,11855,,,BARRANQUILLA CALLE 30,53,53,0,Urbano
PZONA 3,1,750,36,32518,,,BARRANQUILLA CENTRO,52,52,3,Urbano
PZONA 0,1,750,19,11855,,,BARRANQUILLA CENTRO,52,52,0,Urbano
PZONA 2,1,750,33,26421,,,BARRANQUILLA CENTRO,52,52,2,Urbano
PZONA 1,1,750,21,18291,,,BARRANQUILLA CENTRO,52,52,1,Urbano
PZONA 3,1,750,36,32518,,,BARRANQUILLA NORTE,50,50,3,Urbano
PZONA 1,1,750,21,18291,,,BARRANQUILLA NORTE,50,50,1,Urbano
PZONA 2,1,750,33,26421,,,BARRANQUILLA NORTE,50,50,2,Urbano
PZONA 0,1,750,19,11855,,,BARRANQUILLA NORTE,50,50,0,Urbano
MZONA 3,1,750,36,34324,,,BARRANQUILLA CALLE 30,53,53,S3,Urbano
MZONA 1,1,750,21,18856,,,BARRANQUILLA CALLE 30,53,53,S1,Urbano
MZONA 2,1,750,34,26534,,,BARRANQUILLA CALLE 30,53,53,S2,Urbano
MZONA 0,1,750,19,12194,,,BARRANQUILLA CALLE 30,53,53,S0,Urbano
MZONA 3,1,750,36,34324,,,BARRANQUILLA CENTRO,52,52,S3,Urbano
MZONA 0,1,750,19,12194,,,BARRANQUILLA CENTRO,52,52,S0,Urbano
MZONA 2,1,750,34,26534,,,BARRANQUILLA CENTRO,52,52,S2,Urbano
MZONA 1,1,750,21,18856,,,BARRANQUILLA CENTRO,52,52,S1,Urbano
MZONA 3,1,750,36,34324,,,BARRANQUILLA NORTE,53,53,S3,Urbano
MZONA 1,1,750,21,18856,,,BARRANQUILLA NORTE,50,50,S1,Urbano
MZONA 2,1,750,34,26534,,,BARRANQUILLA NORTE,50,50,S2,Urbano
MZONA 0,1,750,19,12194,,,BARRANQUILLA NORTE,50,50,S0,Urbano
